Id_projecte,Nom_projecte,Id_WP,Id_lliurable,Nom_lliurable,Data_prevista,Data_real,Pes_percent,Responsable,Estat
P01,Campus d’Emprenedoria Disruptiva,WP1,D1.1,Lliurable 1 · Gestió i governança,2025-06-19,2025-06-20,33.33,Responsable WP1,Completat
P01,Campus d’Emprenedoria Disruptiva,WP1,D1.2,Lliurable 2 · Gestió i governança,2025-07-04,2025-07-06,33.33,Responsable WP1,Completat
P01,Campus d’Emprenedoria Disruptiva,WP1,D1.3,Lliurable 3 · Gestió i governança,2025-07-17,2025-07-20,33.33,Responsable WP1,Completat
P01,Campus d’Emprenedoria Disruptiva,WP2,D2.1,Lliurable 1 · Diagnosi i planificació,2025-08-04,2025-08-06,33.33,Responsable WP2,Completat
P01,Campus d’Emprenedoria Disruptiva,WP2,D2.2,Lliurable 2 · Diagnosi i planificació,2025-08-19,2025-08-22,33.33,Responsable WP2,Completat
P01,Campus d’Emprenedoria Disruptiva,WP2,D2.3,Lliurable 3 · Diagnosi i planificació,2025-09-02,2025-09-06,33.33,Responsable WP2,Completat
P01,Campus d’Emprenedoria Disruptiva,WP3,D3.1,Lliurable 1 · Execució i experimentació,2025-09-20,2025-09-23,33.33,Responsable WP3,Completat
P01,Campus d’Emprenedoria Disruptiva,WP3,D3.2,Lliurable 2 · Execució i experimentació,2025-10-05,2025-10-09,33.33,Responsable WP3,Completat
P01,Campus d’Emprenedoria Disruptiva,WP3,D3.3,Lliurable 3 · Execució i experimentació,2025-10-18,2025-10-23,33.33,Responsable WP3,Completat
P01,Campus d’Emprenedoria Disruptiva,WP4,D4.1,Lliurable 1 · Transferència i tancament,2025-11-05,2025-11-09,33.33,Responsable WP4,Completat
P01,Campus d’Emprenedoria Disruptiva,WP4,D4.2,Lliurable 2 · Transferència i tancament,2025-11-20,2025-11-25,33.33,Responsable WP4,Completat
P01,Campus d’Emprenedoria Disruptiva,WP4,D4.3,Lliurable 3 · Transferència i tancament,2025-12-04,2025-12-02,33.33,Responsable WP4,Completat
P02,Network4Work,WP1,D1.1,Lliurable 1 · Gestió i governança,2026-01-30,2026-02-01,33.33,Responsable WP1,Completat
P02,Network4Work,WP1,D1.2,Lliurable 2 · Gestió i governança,2026-04-13,2026-04-16,33.33,Responsable WP1,Completat
P02,Network4Work,WP1,D1.3,Lliurable 3 · Gestió i governança,2026-06-16,2026-06-20,33.33,Responsable WP1,Completat
P02,Network4Work,WP2,D2.1,Lliurable 1 · Diagnosi i planificació,2026-09-15,2026-09-18,33.33,Responsable WP2,Completat
P02,Network4Work,WP2,D2.2,Lliurable 2 · Diagnosi i planificació,2026-11-27,,33.33,Responsable WP2,Pendent
P02,Network4Work,WP2,D2.3,Lliurable 3 · Diagnosi i planificació,2027-01-30,,33.33,Responsable WP2,Pendent
P02,Network4Work,WP3,D3.1,Lliurable 1 · Execució i experimentació,2027-05-01,,33.33,Responsable WP3,Pendent
P02,Network4Work,WP3,D3.2,Lliurable 2 · Execució i experimentació,2027-07-13,,33.33,Responsable WP3,Pendent
P02,Network4Work,WP3,D3.3,Lliurable 3 · Execució i experimentació,2027-09-15,,33.33,Responsable WP3,Pendent
P02,Network4Work,WP4,D4.1,Lliurable 1 · Transferència i tancament,2027-12-15,,33.33,Responsable WP4,Pendent
P02,Network4Work,WP4,D4.2,Lliurable 2 · Transferència i tancament,2028-02-26,,33.33,Responsable WP4,Pendent
P02,Network4Work,WP4,D4.3,Lliurable 3 · Transferència i tancament,2028-04-30,,33.33,Responsable WP4,Pendent
P03,C4TALENT,WP1,D1.1,Lliurable 1 · Gestió i governança,2023-09-03,2023-09-06,33.33,Responsable WP1,Completat
P03,C4TALENT,WP1,D1.2,Lliurable 2 · Gestió i governança,2023-11-17,2023-11-21,33.33,Responsable WP1,Completat
P03,C4TALENT,WP1,D1.3,Lliurable 3 · Gestió i governança,2024-01-23,2024-01-28,33.33,Responsable WP1,Completat
P03,C4TALENT,WP2,D2.1,Lliurable 1 · Diagnosi i planificació,2024-04-26,2024-04-30,33.33,Responsable WP2,Completat
P03,C4TALENT,WP2,D2.2,Lliurable 2 · Diagnosi i planificació,2024-07-10,2024-07-15,33.33,Responsable WP2,Completat
P03,C4TALENT,WP2,D2.3,Lliurable 3 · Diagnosi i planificació,2024-09-15,2024-09-13,33.33,Responsable WP2,Completat
P03,C4TALENT,WP3,D3.1,Lliurable 1 · Execució i experimentació,2024-12-18,2024-12-23,33.33,Responsable WP3,Completat
P03,C4TALENT,WP3,D3.2,Lliurable 2 · Execució i experimentació,2025-03-03,2025-03-01,33.33,Responsable WP3,Completat
P03,C4TALENT,WP3,D3.3,Lliurable 3 · Execució i experimentació,2025-05-09,2025-05-08,33.33,Responsable WP3,Completat
P03,C4TALENT,WP4,D4.1,Lliurable 1 · Transferència i tancament,2025-08-11,2025-08-09,33.33,Responsable WP4,Completat
P03,C4TALENT,WP4,D4.2,Lliurable 2 · Transferència i tancament,2025-10-25,2025-10-24,33.33,Responsable WP4,Completat
P03,C4TALENT,WP4,D4.3,Lliurable 3 · Transferència i tancament,2025-12-31,2025-12-31,33.33,Responsable WP4,Completat
