Id_projecte,Nom_projecte,Data_observació,Índex_risc,Retard_mitjà_dies,Desviació_pressupost_pct,Evidències_pendents,Compliment_objectius_pct
P01,Campus d’Emprenedoria Disruptiu,2023-10-01,63.2,20.9,5.5,11,42.1
P01,Campus d’Emprenedoria Disruptiu,2023-11-01,58.4,25.5,4.2,11,47.1
P01,Campus d’Emprenedoria Disruptiu,2023-12-01,68.7,28.5,5.7,13,52.6
P01,Campus d’Emprenedoria Disruptiu,2024-01-01,63.0,28.2,4.4,13,52.6
P01,Campus d’Emprenedoria Disruptiu,2024-02-01,66.6,25.8,9.5,12,52.8
P01,Campus d’Emprenedoria Disruptiu,2024-03-01,66.5,30.1,8.4,13,56.6
P01,Campus d’Emprenedoria Disruptiu,2024-04-01,76.5,27.6,7.2,11,58.3
P01,Campus d’Emprenedoria Disruptiu,2024-05-01,72.0,28.6,7.0,10,59.3
P01,Campus d’Emprenedoria Disruptiu,2024-06-01,69.5,30.3,7.7,11,58.4
P01,Campus d’Emprenedoria Disruptiu,2024-07-01,66.0,30.9,9.7,10,58.7
P01,Campus d’Emprenedoria Disruptiu,2024-08-01,64.5,29.4,6.5,8,57.4
P01,Campus d’Emprenedoria Disruptiu,2024-09-01,58.7,25.7,12.4,6,61.9
P01,Campus d’Emprenedoria Disruptiu,2024-10-01,52.3,24.3,9.7,7,61.1
P01,Campus d’Emprenedoria Disruptiu,2024-11-01,59.9,22.8,8.2,7,58.2
P01,Campus d’Emprenedoria Disruptiu,2024-12-01,49.3,18.9,7.1,6,58.9
P01,Campus d’Emprenedoria Disruptiu,2025-01-01,55.0,19.4,8.9,6,57.2
P01,Campus d’Emprenedoria Disruptiu,2025-02-01,52.3,17.0,7.4,5,54.2
P01,Campus d’Emprenedoria Disruptiu,2025-03-01,51.0,15.9,7.7,7,58.7
P01,Campus d’Emprenedoria Disruptiu,2025-04-01,50.7,15.5,6.3,7,52.0
P01,Campus d’Emprenedoria Disruptiu,2025-05-01,41.7,10.3,4.6,9,54.2
P01,Campus d’Emprenedoria Disruptiu,2025-06-01,46.0,16.9,5.4,10,54.0
P01,Campus d’Emprenedoria Disruptiu,2025-07-01,47.1,9.0,4.9,11,51.7
P01,Campus d’Emprenedoria Disruptiu,2025-08-01,50.6,11.8,3.9,8,57.3
P01,Campus d’Emprenedoria Disruptiu,2025-09-01,47.9,11.2,4.8,13,56.8
P01,Campus d’Emprenedoria Disruptiu,2025-10-01,47.4,10.7,4.8,12,60.6
P01,Campus d’Emprenedoria Disruptiu,2025-11-01,54.6,14.5,1.8,9,56.1
P01,Campus d’Emprenedoria Disruptiu,2025-12-01,53.2,6.3,5.3,9,55.5
P01,Campus d’Emprenedoria Disruptiu,2026-01-01,52.3,11.8,5.6,11,69.8
P01,Campus d’Emprenedoria Disruptiu,2026-02-01,59.3,8.6,-0.3,7,60.0
P01,Campus d’Emprenedoria Disruptiu,2026-03-01,57.0,10.6,3.9,8,64.4
P01,Campus d’Emprenedoria Disruptiu,2026-04-01,58.6,10.4,1.1,4,65.3
P01,Campus d’Emprenedoria Disruptiu,2026-05-01,66.4,15.0,6.8,3,63.5
P01,Campus d’Emprenedoria Disruptiu,2026-06-01,55.1,13.5,9.6,2,71.2
P01,Campus d’Emprenedoria Disruptiu,2026-07-01,54.5,19.5,6.7,3,70.2
P01,Campus d’Emprenedoria Disruptiu,2026-08-01,54.1,19.1,5.6,1,68.0
P01,Campus d’Emprenedoria Disruptiu,2026-09-01,55.7,23.3,7.6,3,74.1
P02,Network4Work,2023-10-01,74.0,30.5,6.5,14,53.5
P02,Network4Work,2023-11-01,75.4,30.8,5.4,11,58.2
P02,Network4Work,2023-12-01,76.2,29.8,7.4,15,50.9
P02,Network4Work,2024-01-01,65.3,32.1,7.6,12,54.4
P02,Network4Work,2024-02-01,69.3,33.9,8.7,13,49.2
P02,Network4Work,2024-03-01,66.3,26.4,6.1,9,54.7
P02,Network4Work,2024-04-01,68.4,24.0,8.6,9,54.8
P02,Network4Work,2024-05-01,66.7,28.3,11.0,8,53.7
P02,Network4Work,2024-06-01,59.5,26.1,8.4,6,55.9
P02,Network4Work,2024-07-01,59.0,31.3,11.4,5,54.5
P02,Network4Work,2024-08-01,49.9,20.4,7.9,8,52.8
P02,Network4Work,2024-09-01,51.0,14.0,6.5,4,53.0
P02,Network4Work,2024-10-01,48.3,18.5,2.8,4,60.7
P02,Network4Work,2024-11-01,45.2,13.9,9.4,10,50.4
P02,Network4Work,2024-12-01,47.9,16.7,8.7,5,53.0
P02,Network4Work,2025-01-01,52.0,15.7,4.0,7,49.5
P02,Network4Work,2025-02-01,47.9,12.5,4.7,7,55.1
P02,Network4Work,2025-03-01,53.4,12.9,4.6,9,53.9
P02,Network4Work,2025-04-01,47.3,12.9,3.3,13,59.1
P02,Network4Work,2025-05-01,53.0,9.3,1.1,12,55.8
P02,Network4Work,2025-06-01,54.8,6.3,5.0,11,52.4
P02,Network4Work,2025-07-01,52.6,12.6,3.2,10,56.5
P02,Network4Work,2025-08-01,55.2,12.8,6.1,6,57.3
P02,Network4Work,2025-09-01,58.4,13.9,2.6,7,60.3
P02,Network4Work,2025-10-01,65.9,9.3,5.3,8,60.6
P02,Network4Work,2025-11-01,55.8,13.9,6.6,8,67.5
P02,Network4Work,2025-12-01,65.3,17.3,7.9,7,66.4
P02,Network4Work,2026-01-01,59.5,17.3,3.6,7,62.0
P02,Network4Work,2026-02-01,63.4,17.6,8.0,6,72.6
P02,Network4Work,2026-03-01,62.4,14.5,6.3,2,67.1
P02,Network4Work,2026-04-01,64.1,21.9,5.8,2,70.2
P02,Network4Work,2026-05-01,51.5,18.7,8.6,5,73.3
P02,Network4Work,2026-06-01,45.2,22.1,8.9,5,77.5
P02,Network4Work,2026-07-01,43.8,19.6,10.8,2,78.0
P02,Network4Work,2026-08-01,51.2,23.8,9.2,7,77.6
P02,Network4Work,2026-09-01,48.4,21.6,11.6,5,74.5
P03,C4TALENT,2023-10-01,68.7,31.5,9.6,11,52.2
P03,C4TALENT,2023-11-01,73.8,27.1,5.8,12,55.2
P03,C4TALENT,2023-12-01,66.1,32.1,8.9,12,54.3
P03,C4TALENT,2024-01-01,73.3,26.1,2.8,12,51.1
P03,C4TALENT,2024-02-01,62.2,29.1,3.2,7,47.4
P03,C4TALENT,2024-03-01,56.2,24.9,7.0,8,47.6
P03,C4TALENT,2024-04-01,47.9,22.0,4.5,8,53.6
P03,C4TALENT,2024-05-01,55.6,22.5,5.4,7,49.0
P03,C4TALENT,2024-06-01,52.5,19.2,6.0,5,52.4
P03,C4TALENT,2024-07-01,50.7,16.8,5.5,3,46.7
P03,C4TALENT,2024-08-01,44.8,8.8,2.1,8,49.6
P03,C4TALENT,2024-09-01,51.0,18.0,5.7,7,54.6
P03,C4TALENT,2024-10-01,50.6,11.4,1.5,6,48.1
P03,C4TALENT,2024-11-01,49.2,15.7,5.9,7,52.4
P03,C4TALENT,2024-12-01,47.4,14.5,2.0,7,54.6
P03,C4TALENT,2025-01-01,50.4,11.4,0.1,9,53.9
P03,C4TALENT,2025-02-01,53.5,14.2,3.0,13,52.6
P03,C4TALENT,2025-03-01,50.0,16.9,1.8,13,56.0
P03,C4TALENT,2025-04-01,57.0,15.5,6.6,14,56.4
P03,C4TALENT,2025-05-01,59.7,18.5,1.4,11,57.5
P03,C4TALENT,2025-06-01,61.7,13.8,0.4,7,55.8
P03,C4TALENT,2025-07-01,59.5,16.5,8.1,10,57.9
P03,C4TALENT,2025-08-01,63.4,17.3,4.3,8,64.3
P03,C4TALENT,2025-09-01,60.7,22.8,3.3,7,71.8
P03,C4TALENT,2025-10-01,62.6,24.9,6.5,6,65.4
P03,C4TALENT,2025-11-01,60.1,19.1,8.0,3,69.0
P03,C4TALENT,2025-12-01,63.8,23.2,7.3,5,67.4
P03,C4TALENT,2026-01-01,61.5,17.1,8.0,1,65.0
P03,C4TALENT,2026-02-01,61.2,25.5,8.1,2,61.5
P03,C4TALENT,2026-03-01,51.3,30.0,11.1,3,72.6
P03,C4TALENT,2026-04-01,44.9,21.5,11.1,5,74.2
P03,C4TALENT,2026-05-01,50.2,23.7,10.1,7,77.1
P03,C4TALENT,2026-06-01,42.8,18.2,14.7,6,76.6
P03,C4TALENT,2026-07-01,43.0,24.1,12.7,8,77.1
P03,C4TALENT,2026-08-01,41.9,15.6,11.9,9,67.6
P03,C4TALENT,2026-09-01,44.8,15.3,15.3,5,69.7
