Id_projecte,Nom_projecte,Id_WP,Nom_WP,Data_inici,Data_fi_prevista,Pressupost_WP,Persones_responsables
P01,Campus d’Emprenedoria Disruptiu,WP1,Gestió i governança,2025-06-01,2025-07-17,24000,2
P01,Campus d’Emprenedoria Disruptiu,WP2,Diagnosi i planificació,2025-07-17,2025-09-02,30000,3
P01,Campus d’Emprenedoria Disruptiu,WP3,Execució i experimentació,2025-09-02,2025-10-18,36000,1
P01,Campus d’Emprenedoria Disruptiu,WP4,Transferència i tancament,2025-10-18,2025-12-04,42000,2
P02,Network4Work,WP1,Gestió i governança,2025-11-01,2026-06-16,48000,2
P02,Network4Work,WP2,Diagnosi i planificació,2026-06-16,2027-01-30,54000,3
P02,Network4Work,WP3,Execució i experimentació,2027-01-30,2027-09-15,60000,1
P02,Network4Work,WP4,Transferència i tancament,2027-09-15,2028-04-30,66000,2
P03,C4TALENT,WP1,Gestió i governança,2023-06-01,2024-01-23,42000,2
P03,C4TALENT,WP2,Diagnosi i planificació,2024-01-23,2024-09-15,48000,3
P03,C4TALENT,WP3,Execució i experimentació,2024-09-15,2025-05-09,54000,1
P03,C4TALENT,WP4,Transferència i tancament,2025-05-09,2025-12-31,60000,2
